Model,Remote_Tokens_CPU,Latency_ms
Llama2-7B,1024,21.513
Llama2-7B,2048,42.99
Llama2-7B,4096,85.944
Llama2-7B,8192,171.853
Llama2-7B,16384,343.669
Llama2-7B,32768,687.302
Llama2-7B,65536,1374.569
Llama2-7B,131072,2749.102
Llama2-7B,262144,5498.167
Llama2-7B,524288,10996.298
Llama2-7B,1048576,21992.559
Llama3-8B,1024,30.265
Llama3-8B,2048,60.468
Llama3-8B,4096,120.872
Llama3-8B,8192,241.68
Llama3-8B,16384,483.298
Llama3-8B,32768,966.532
Llama3-8B,65536,1933.0
Llama3-8B,131072,3865.937
Llama3-8B,262144,7731.81
Llama3-8B,524288,15463.556
Llama3-8B,1048576,30927.049
